CID,CityID,Lon,Lat
3,275,121.6520004,31.8169994
3,276,113.8659973,27.6495991
3,277,114.3919983,27.8320999
3,278,114.7809982,25.6896992
3,279,114.9079971,25.8372002
3,280,114.9400024,27.8202991
3,281,115.8040009,28.6860008
3,282,115.935997,28.6212997
3,283,115.9899979,29.7057991
3,284,116.3580017,27.9545994
3,285,117.1900024,29.3054008
3,286,117.9349976,28.4482994
3,329,107.0240021,33.0751991
3,332,109.0009995,32.7069016
3,411,121.1910019,30.8656998
3,412,121.4550018,31.1341991
3,428,101.7269974,26.573
3,429,103.8300018,30.0569
3,430,104.052002,30.6805992
3,431,104.375,31.1159
3,432,104.6419983,30.1086006
3,433,104.7089996,31.4671001
3,434,104.7369995,31.7598
3,435,104.7750015,29.3398991
3,436,105.4550018,28.8827
3,437,105.5739975,30.5002003
3,438,105.8209991,32.4318008
3,439,106.0910034,30.7975998
3,440,106.6389999,30.4643002
3,463,99.1953964,25.1156006
3,464,100.2539978,25.6306
3,465,101.5540009,25.0407009
3,466,102.5299988,24.3659992
3,467,102.4990005,24.9232006
3,468,102.7770004,24.9620991
3,470,103.7969971,25.5233002
3,471,118.9079971,28.9365005
3,472,119.6559982,30.6375008
3,473,119.6309967,29.1007996
3,474,120.0390015,30.9204006
3,475,120.0820007,29.2922001
3,476,120.060997,28.9237003
3,477,120.211998,29.7178993
3,478,120.2659988,29.1420994
3,479,120.3980026,30.8509998
3,480,120.3089981,30.4596996
3,481,120.4029999,30.1208
3,482,120.6259995,27.7840996
3,483,120.8550034,29.5571995
3,484,120.8799973,30.7378998
3,485,120.9319992,28.0802002
3,486,121.1640015,28.8659
3,487,121.1959991,30.1665993
3,488,121.3960037,28.5333996
3,489,121.4339981,29.3600998
3,490,121.5009995,28.7346992
3,491,121.5859985,29.8750992
3,492,122.1819992,29.9979992
4,133,123.9720001,47.3274002
4,134,124.836998,45.5833015
4,135,124.9710007,46.5788002
4,136,125.1220016,45.5575981
4,137,125.2720032,46.4320984
