D2W_D,W2D_D,D2W_S,W2D_S
0.09133248,-0.12044496,0.09169868,-0.03656659
-0.13183674,-0.049973093,-0.2663464,-0.07987847
-0.43885055,-0.3448818,0.017405061,0.03765132
-0.22446123,-0.29771018,0.18699253,-0.08383224
0.18053588,0.19757213,-0.06964028,0.044980094
0.21997605,0.07860995,-0.04130825,0.26630852
-0.011081119,-0.001580148,0.09394392,0.04696704
-0.16431838,0.027661758,0.52687836,0.4195301
-0.009341564,0.10654428,-0.117143326,-0.22101885
0.11757287,-0.16079646,0.26354015,0.18313688
-0.3453388,-0.01716763,0.26708627,-0.09005508
0.14986272,0.11588236,0.036790945,0.23407742
0.46437377,-0.19762528,-0.23135401,-0.16026068
-0.19466035,-0.115922205,0.0013354949,-0.08836242
-0.42648262,0.095610306,0.28827268,0.375555
-0.19527167,-0.31219652,0.20317656,0.05656408
-0.010881471,0.14205445,-0.11697511,-0.033576082
0.09084396,0.04509934,-0.13654137,0.02609704
0.09371925,0.005392163,-0.014281218,-0.051801506
-0.13253066,0.16597657,-0.22927804,-0.16665953
0.0594702,0.26964083,0.13241947,-0.0029662887
0.23307297,0.21982142,-0.07095837,0.05706223
-0.5240555,-0.059664905,0.33515283,-0.031342484
0.12647745,0.037873566,-0.011407457,-0.033157036
-0.34437954,-0.080794975,-0.05602083,-0.048116077
-0.3474538,-0.14066373,0.09657297,0.1088873
-0.04190337,-0.016160991,-0.022486178,0.06705892
0.09788547,-0.10466202,-0.028209336,-0.068459734
-0.33479288,-0.0706948,-0.03391633,-0.13651267
-0.2617418,-0.26929292,-0.020614058,0.0064614145
0.11358852,-0.23992197,-0.08433036,0.004395663
-0.025268335,0.24275671,-0.056035146,-0.12689012
-0.29801887,-0.005442452,-0.036944233,0.2736669
-0.45073763,-0.09438596,0.13992,0.051043488
-0.28049144,-0.14956908,0.25173515,-0.085607894
-0.19084746,0.048088014,-0.007914215,-0.12954575
-0.25317764,-0.13436091,-0.059263535,-0.16722558
-0.17943414,0.4054249,-0.120086834,-0.20860559
-0.5282998,0.18227841,0.2104647,-0.18084426
-0.13772723,-0.009271699,0.44683793,0.3437213
-0.2267863,-0.26507875,-0.08149482,0.0013737632
-0.16173914,-0.010365068,-0.086814135,-0.16634887
0.97085214,-0.15968986,-0.12811567,-0.08456628
0.029585255,-0.13717872,0.30618244,0.016849965
-0.2025,-0.32216007,0.2084702,0.20894575
0.05863423,-0.19724707,0.07293894,-0.16365914
-0.2310426,0.10643793,0.36610985,0.043187443
-0.11307521,-0.24348837,0.20746085,0.36891896
-0.27600834,-0.34605238,0.11869783,0.20425503
-0.18808879,0.2430255,0.052879658,-0.12626144
-0.12541945,-0.1932525,0.074149676,0.14688192
-0.37399766,-0.05102729,0.10573127,0.95111805
-0.15899815,-0.025458787,0.13047242,0.26942062
-0.21137519,0.2105076,0.2512131,0.13414545
0.5363625,0.015457228,-0.09811123,0.027248036
0.2805984,0.8533606,-0.043661658,0.090506196
