D2W_D,W2D_D,D2W_S,W2D_S
-0.2349203,-0.19300485,0.44702262,0.29632935
-0.3012737,0.13454482,0.1857889,0.5278427
-0.24956521,0.06357272,0.2035747,0.460747
-0.119574025,-0.1836183,0.23341458,0.28632006
-0.3113773,-0.035801988,0.14002584,0.38870335
-0.26569125,-0.0053407364,0.17101687,0.25521284
-0.29207355,-0.17654553,0.34991452,0.52347124
-0.20359907,0.029785834,0.18171889,0.17436713
-0.0017460324,-0.19723618,0.06610152,-0.017473197
0.009523086,-0.2551863,0.17998935,0.04394541
-0.10246082,-0.1257523,0.26112127,0.070178434
-0.08446585,-0.03625,0.19430937,0.088459454
-0.078192234,0.06147583,0.21272296,-0.022926847
0.1563372,0.11721902,0.10961424,-0.0684476
-0.29030758,0.18493506,0.060260642,0.020023242
-0.101155065,-0.07137364,-0.010915316,0.07944895
-0.26258364,-0.027671568,0.10129716,0.21009198
-0.21677396,0.049223192,0.19776697,0.37776464
-0.22021085,-0.024553116,0.26394188,0.40132904
-0.14093468,-0.17565456,0.51251847,0.42374718
-0.23071715,-0.09181394,0.3275371,0.35810196
-0.22364831,0.20520309,0.2350998,0.31495368
-0.16955224,0.2067368,0.07155223,0.2216318
-0.27936822,0.030678034,0.22873302,0.2360982
-0.33950382,-0.4022701,0.11870755,0.028402865
-0.22342783,-0.20922136,0.13123083,0.14844874
0.18094113,-0.41010404,0.3385967,0.11679463
-0.060484692,-0.23782429,0.29618195,0.09669061
-0.20236114,-0.1532541,0.24811041,0.07198924
-0.05361111,-0.16222319,0.092620924,-0.026902422
-0.13456622,-0.33902296,0.21641664,0.15199073
0.08673481,-0.23299003,0.00030496874,0.20362578
0.113468684,-0.08296167,-0.028632969,0.011376754
-0.19802397,0.025213964,0.21149193,0.24022524
-0.08548646,0.059542485,0.13707604,0.12708862
-0.12603676,-0.13254583,0.20301497,0.10938938
-0.06295411,-0.0038341954,-0.15372065,0.08458919
-0.058571428,0.12801045,0.3913293,0.14198074
-0.1442133,0.10893806,0.10387866,0.3615471
-0.31720555,-0.06078203,0.4056229,0.3280725
-0.22304669,-0.24591577,0.5110821,0.37447596
0.08681815,-0.059301946,0.25132537,0.13647825
-0.07039495,-0.02166626,0.20572588,0.1772275
0.1506055,-0.029437715,0.11027782,0.08065061
0.036941633,-0.13529706,-0.14760008,0.096688315
-0.09999434,-0.11047114,0.14903702,0.2027918
-0.2436131,-0.19739813,0.31011707,0.43039542
-0.27499792,-0.2036609,0.06273207,0.16387536
-0.10192475,-0.30387336,0.24046674,0.35402125
-0.13743657,-0.35498536,-0.030497784,0.056999702
-0.23123664,-0.07793369,0.11298092,0.24881855
-0.13802871,-0.048047468,0.2515373,0.17632918
-0.3043375,0.0027119666,0.1473116,0.30753714
0.18404192,-0.09111975,0.11177426,0.14246403
0.05553092,0.025246054,0.11720084,0.2298351
-0.15009418,-0.10039332,0.041520197,0.021296075
-0.13992122,-0.39809301,0.14388579,0.2106844
0.10799783,-0.38158494,-0.15141264,0.0068213744
-0.06023529,-0.39950633,0.09406561,-0.0066233585
-0.15888584,-0.3689931,0.07146456,0.19204058
-0.17666668,0.051250003,-0.036828764,-0.17056453
-0.04255943,-0.19509694,0.11640398,-0.0046664746
0.31256464,0.032095782,0.11668978,0.046113327
-0.030704726,-0.07854104,0.26603723,0.27733263
0.09408789,-0.07255383,0.10302583,0.023754839
-0.08123246,-0.09917479,-0.0029303771,0.23959212
0.15338278,-0.15479298,0.3087264,0.10002345
-0.0430233,-0.06408509,0.057667263,0.14087845
0.06836215,-0.15888007,0.02118104,-0.0048636855
-0.013950616,-0.078592256,-0.013587785,0.12090952
-0.084756166,-0.33088076,0.12183996,-0.076198705
-0.08986792,-0.012820827,-0.0142202275,0.12984787
-0.1506044,-0.1922904,0.11166347,0.057539493
-0.05734413,-0.21206942,0.3500859,0.111169875
-0.32266283,-0.1509028,0.25825694,0.05811041
0.08182266,-0.25760806,0.29739767,0.064649984
-0.082566485,-0.23826018,-0.1723015,-0.09289599
0.14343393,-0.124434136,0.054064658,0.18832853
-0.13307548,-0.08782503,0.5938283,0.26964724
-0.017629514,-0.050209668,0.044417314,0.031597007
-0.048779633,-0.1448349,0.16932796,0.11026
-0.10955764,0.057125747,0.17422846,0.30084127
-0.30973357,-0.14119007,0.09694722,0.09603844
-0.08198205,-0.27225053,0.39595968,0.12018451
0.21411198,-0.074264064,0.20597878,0.05994822
-0.022851767,-0.34454972,0.5474773,0.0704594
0.12850872,-0.27515882,0.11068321,0.09641382
-0.30170327,-0.118229404,0.17147414,0.11647006
-0.40465546,-0.15260449,0.17718494,0.102954395
-0.21810195,0.1471096,-0.014881146,-0.0446503
-0.19373858,0.35695833,-0.06513023,-0.020914217
-0.18115693,-0.19645569,0.0046010893,0.13830589
-0.27014214,0.1499826,-0.056724574,-0.0025588043
-0.31139213,-0.29337034,-0.08771331,-0.029147994
-0.51129454,0.02991993,0.19387187,0.12099186
-0.127064,-0.026140444,0.027462818,0.14583698
-0.071504176,0.20012048,-0.0017836569,0.111336656
-0.40091354,-0.331473,0.17888927,0.19716428
0.30795622,-0.25735983,-0.09740049,0.29235497
-0.2011497,-0.3229768,0.29217768,0.10291725
-0.06951747,-0.15902135,0.56818855,0.347259
-0.3160286,-0.20701149,0.37099072,-0.07725679
-0.1802451,-0.22134992,0.06309686,0.121925816
-0.25022715,-0.090840496,0.009520053,-0.019819163
-0.02118825,-0.16008204,0.02014563,0.06918224
-0.1997137,-0.09219293,-0.11623458,-0.09846227
-0.34054884,-0.19874251,0.09632676,0.13249275
-0.083948135,0.04177893,0.055674687,0.24344482
0.06024652,-0.10997542,-0.13751857,-0.16108632
-0.041554783,-0.05308328,0.03307397,-0.06372134
-0.2762963,-0.07775859,-0.047135167,0.09905798
-0.47542313,-0.24621281,0.4122727,0.21692687
-0.26849508,-0.16996428,0.20186485,0.056579355
-0.22561404,0.0604811,0.26438788,0.11355167
-0.32833487,-0.19347149,0.23908994,0.21897031
-0.20744565,-0.12266751,0.42276084,0.2527979
0.058434002,-0.13603345,-0.0038438346,0.19681941
-0.34732574,-0.26330596,0.13884893,0.15200071
-0.39844444,-0.03878002,-0.03315025,0.07398163
-0.26700416,-0.25073707,-0.04313564,0.15001374
-0.096183576,-0.16921568,0.026462993,0.02130209
-0.136772,0.14146173,0.09567782,0.09656769
0.008830585,0.1358588,0.13444401,-0.0528043
0.006147757,-0.026038751,0.040421717,0.1160223
0.012671493,0.026383564,0.10402711,0.07150059
-0.18988886,0.16933072,0.19077665,0.20201221
-0.17881998,0.06241826,0.062018964,0.39291242
-0.22928411,-0.24229234,-0.0009426681,0.18655841
-0.0542608,-0.3033465,-0.19529629,0.035082594
-0.09835614,-0.22790146,0.3492246,-0.065416
-0.19881776,-0.14847553,0.48205027,0.06791227
-0.30158642,-0.014539635,0.0107576195,0.11015556
-0.17093974,-0.056577288,0.14793184,0.05954397
-0.09321289,-0.29960558,0.15292253,0.16486135
-0.14833334,0.027534053,-0.028388852,-0.018531645
-0.094806455,-0.05081086,0.3020153,0.41392595
-0.07349056,-0.17718342,0.34373558,0.19240858
-0.3068407,-0.045039658,0.08417398,0.19998372
-0.14041667,-0.08927192,0.25844038,0.42581096
-0.1905958,-0.042352244,0.29055238,0.62875307
-0.052332234,-0.23094258,-0.0015784422,-0.114073545
-0.25829226,0.0693682,0.8188066,0.5991428
-0.2730689,0.1864689,0.76486677,0.40747795
-0.19543883,0.09367991,0.34220555,0.24834079
-0.28665054,-0.13764851,0.22136492,0.21241511
-0.5075351,-0.27810305,0.041176576,0.32192054
0.15108672,0.15319407,-0.15742484,-0.00011863859
-0.009464284,-0.3100735,-0.08556271,0.08807451
-0.46721163,-0.32578313,0.12571867,0.08413381
-0.27447018,-0.23621348,0.19390298,0.08756177
-0.22795585,-0.35015914,0.297433,0.26458594
-0.2625355,-0.07933079,0.050581526,0.17308609
-0.111150794,-0.1806826,0.24447255,0.109838486
-0.22904155,-0.14176893,0.1899658,0.043121774
-0.21183935,-0.106918275,0.21588051,-0.022754617
-0.15397787,-0.18359455,-0.11562583,-0.14713304
0.13554513,-0.2726837,-0.26144278,0.02371388
-0.2242322,-0.22345108,0.21892051,0.114493564
-0.12064792,-0.11238849,-0.03286906,-0.0465979
-0.16688743,-0.13063633,0.32967684,0.038394067
-0.23772833,-0.053352434,0.22958884,0.16570905
-0.20513156,-0.22304234,0.32732916,0.21160081
-0.19483468,-0.16717291,0.2349824,0.27623212
-0.35785767,-0.14250304,0.113300964,0.117892854
-0.1360403,-0.15085101,0.17066853,0.12588614
-0.39905232,-0.09137152,0.13630325,0.06220617
-0.3362753,-0.27837393,-0.053297993,0.0007085137
-0.21154597,-0.117204726,-0.014501136,-0.03891322
-0.38591656,-0.33518013,0.17783687,0.15944934
-0.059621036,-0.07864429,-0.1025892,-0.12423318
0.10901674,-0.07657981,0.15375291,0.014276025
0.009167738,-0.069611445,0.16652386,0.17563532
-0.16233614,-0.08863294,-0.061814666,0.0061900243
-0.3667743,-0.091563515,0.11904438,0.09133102
-0.29692426,0.11736173,0.20232134,-0.06260246
