D2W_D,W2D_D,D2W_S,W2D_S
0.0020521786,0.17297706,0.5882862,0.16894284
0.24602334,-0.1841209,0.06952575,-0.07575202
0.18034251,0.11211583,-0.08107177,-0.10475943
0.040940523,-0.31734344,-0.07734649,0.097778335
0.29022446,-0.14063711,-0.094173975,-0.031284977
-0.39244577,-0.3764338,0.06558931,0.22614442
-0.2250823,-0.15984249,0.09584896,0.28938654
-0.4002842,-0.01842475,0.14226021,0.15687327
-0.3442611,-0.20987664,0.14436196,0.19854708
-0.09637843,0.090491414,-0.1182004,0.25005642
0.061673127,-0.26113167,-0.036593627,0.2628198
-0.04162575,-0.34122038,0.03992928,-0.11117644
0.09158878,-0.32095304,-0.16052665,-0.038874753
0.59363294,-0.10048583,0.045403067,0.010035906
0.19160457,0.0037531573,-0.12524281,-0.043484736
0.20009588,-0.088356435,0.026130361,0.15439743
0.09864128,-0.0341309,-0.021085959,0.15359882
-0.06555885,-0.26998496,-0.12003606,-0.038822267
0.07594937,-0.18968037,0.15427552,0.016957056
-0.09975615,-0.120346785,0.07734283,0.2975848
-0.19015779,-0.22883484,-0.025230017,-0.1090106
-0.12347193,0.007881386,-0.20872107,-0.07596313
0.19512194,-0.19734369,0.057805657,0.46313307
-0.16244772,0.092833206,0.40702143,0.34558752
-0.17884144,-0.1297565,-0.048736986,-0.05176182
-0.21027155,-0.2252667,0.005666532,-0.062185023
-0.16412027,-0.056815285,-0.06363583,-0.17438717
-0.18301769,0.040532134,0.19771998,0.0146475015
-0.12993528,0.25098902,0.14448701,0.051495705
0.021983664,-0.12558088,-0.071806036,0.06789981
-0.017113253,-0.47057566,0.16814893,0.22578163
-0.030978262,-0.3302366,0.02605931,0.06272917
-0.20335713,-0.012057532,0.20717978,0.20007043
-0.2706422,0.09214866,-0.17130119,-0.09835661
0.0047166767,0.17007518,0.17896682,0.13001244
-0.070827186,-0.13340136,-0.13471518,-0.07607571
0.032275133,-0.14176509,-0.04085149,0.18970594
-0.03279391,0.10925466,-0.15454274,-0.21726538
-0.13530378,-0.07190822,-0.18608715,-0.046136286
-0.074800596,0.09153302,0.034144312,0.11652135
-0.20438465,0.023196496,0.22143109,0.13899566
0.003773585,-0.068764865,-0.021189796,0.4059236
0.06746411,-0.072531834,-0.111106254,-0.122695684
-0.06595656,-0.2866434,0.0112653505,-0.09241904
