ID,Lon,Lat,DW_D_UE,WD_D_UE,DW_S_UE,WD_S_UE
36,117.1490021,40.1487999,-0.035714286,0.009683579,0.008571981,0.098897994
37,105.9189987,29.3400993,-0.010449457,-0.001378446,0.013093523,-0.027079923
38,106.3290024,29.530899,0.007238095,0.018892219,-0.006051854,-0.102346811
39,106.5329971,29.5818996,-0.018154332,-0.017172723,0.113586724,0.138992351
40,106.7689972,29.6651993,-0.00843254,-0.003820598,0.008007775,-0.009408883
41,117.0059967,25.0834007,0.019742538,0.013017399,-0.057244618,-0.014558921
42,117.3560028,25.9778996,-0.0484375,-0.034545455,0.129087801,0.079199973
43,118.1309967,24.4957008,0.019073847,0.006666667,-0.083430786,-0.02586269
44,118.776001,25.3353004,-0.002525253,0,0.032852682,0.050154451
45,118.375,24.7621002,-0.047766475,0.001333518,0.13027566,-0.064949304
46,119.3040009,26.0650005,0.022222222,0.007713178,-0.06562533,-0.06564776
47,119.2040024,26.0235004,-0.069379579,-0.043107708,0.090498792,0.09147371
48,119.0810013,25.3722,0.010774464,0.017337662,-0.01215913,-0.038341401
49,119.3799973,25.7042007,-0.006497948,0.001264679,0.032174767,0.000276279
50,119.5459976,25.9239006,0.000705467,-0.017131243,0.021563682,0.040558035
51,98.2738037,39.7961006,-0.00952381,0.003703704,0.023358597,-0.005018124
52,98.4919968,39.7237015,-0.020479921,-0.02400675,-0.049895616,0.039593857
53,103.7630005,36.0844994,-0.026534799,-0.004736983,0.166247227,0.003912276
54,105.8379974,34.5577011,0.020308123,0.041214668,-0.054952985,-0.081376211
55,108.3470001,22.8045006,-0.001809234,-0.009398496,0.039206817,0.030744348
56,108.6380005,21.9692993,0.012484136,0.001948052,-0.017477063,-0.0204753
57,109.1360016,21.4631004,-0.006538462,0.004666667,0.08575172,-0.000770604
58,109.2099991,23.7357998,0.00327381,-0.007738095,0.013426017,0.005209756
59,109.3970032,24.3206005,0.006666667,-0.009409341,-0.00205104,0.023317329
60,109.6039963,23.0911999,0.017142857,-0.006367521,0.005742379,0.024761572
61,109.5559998,24.3903008,0.007967033,0.003792815,-0.008015086,0.013231093
62,110.1760025,25.2418003,0.001495726,-0.008444187,0.016873976,-0.002661053
63,110.1589966,22.6205006,0,0.008008658,-0.022641961,-0.008287314
64,110.3030014,25.2922001,0.031627907,0.036446886,-0.08633517,-0.069092369
65,111.2710037,23.4920998,0.011389187,0.014852941,-0.105699861,-0.06704888
66,111.5309982,24.4319992,-0.013914657,-0.00966691,0.001207932,0.014255986
67,104.9100037,25.1019001,0.012556391,0.002738095,0.002662029,0.009523197
68,106.6490021,26.5746994,0.060426724,0.026082075,-0.067398359,-0.103896913
69,106.9240036,27.6658001,0.022398589,-0.000806452,0.010590364,-0.012352503
70,107.9560013,26.5606003,-0.046497585,-0.035930736,0.090288639,0.07194466
71,110.3639984,21.2346992,-0.014130435,-0.006318681,-0.048421661,-0.026618718
72,110.8990021,21.6711998,-0.036309524,-0.025581459,0.042954963,0.127070534
73,112.0680008,22.9421997,-0.022222222,-0.033962402,0.087757572,0.083894581
74,111.9960022,21.8857002,-0.013690476,0.000264101,0.026101177,0.023994506
75,112.5009995,23.1026001,-0.064338235,-0.032738095,0.071892128,0.124771959
76,112.7610016,23.3223991,-0.01900161,-0.028787879,0.107811919,0.020402878
77,112.8259964,22.8953991,0.000125313,0.004517705,0.05790104,0.052506529
78,113.0479965,23.6641998,-0.030184059,-0.045815296,0.067436535,0.044424443
79,113.2750015,22.1951008,-0.023648649,0.001086957,-0.007773243,0.061643529
80,113.564003,22.9347992,-0.013850309,-0.013333333,0.022340526,0.00957875
81,113.5759964,24.7672997,-0.001640212,0.007113821,-0.00942134,-0.01579908
